Date,new_highs,new_lows,issues_traded,hlli_pct,hlli_10dma
2018-01-16,0,0,510,0.0,0.0
2018-01-17,0,0,510,0.0,0.0
2018-01-18,0,0,510,0.0,0.0
2018-01-19,0,0,510,0.0,0.0
2018-01-22,0,0,510,0.0,0.0
2018-01-23,0,0,510,0.0,0.0
2018-01-24,0,0,510,0.0,0.0
2018-01-25,0,0,510,0.0,0.0
2018-01-26,0,0,510,0.0,0.0
2018-01-29,0,0,510,0.0,0.0
2018-01-30,0,0,510,0.0,0.0
2018-01-31,0,0,510,0.0,0.0
2018-02-01,0,0,511,0.0,0.0
2018-02-02,0,0,512,0.0,0.0
2018-02-05,0,0,512,0.0,0.0
2018-02-06,0,0,512,0.0,0.0
2018-02-07,0,0,512,0.0,0.0
2018-02-08,0,0,513,0.0,0.0
2018-02-09,0,0,513,0.0,0.0
2018-02-12,0,0,513,0.0,0.0
2018-02-13,0,0,513,0.0,0.0
2018-02-14,0,0,513,0.0,0.0
2018-02-15,0,0,513,0.0,0.0
2018-02-16,0,0,513,0.0,0.0
2018-02-20,0,0,513,0.0,0.0
2018-02-21,0,0,513,0.0,0.0
2018-02-22,0,0,513,0.0,0.0
2018-02-23,0,0,513,0.0,0.0
2018-02-26,0,0,513,0.0,0.0
2018-02-27,0,0,513,0.0,0.0
2018-02-28,0,0,513,0.0,0.0
2018-03-01,0,0,513,0.0,0.0
2018-03-02,0,0,513,0.0,0.0
2018-03-05,0,0,513,0.0,0.0
2018-03-06,0,0,513,0.0,0.0
2018-03-07,0,0,513,0.0,0.0
2018-03-08,0,0,513,0.0,0.0
2018-03-09,0,0,513,0.0,0.0
2018-03-12,0,0,513,0.0,0.0
2018-03-13,0,0,513,0.0,0.0
2018-03-14,0,0,513,0.0,0.0
2018-03-15,0,0,513,0.0,0.0
2018-03-16,0,0,513,0.0,0.0
2018-03-19,0,0,513,0.0,0.0
2018-03-20,0,0,513,0.0,0.0
2018-03-21,0,0,513,0.0,0.0
2018-03-22,0,0,513,0.0,0.0
2018-03-23,0,0,513,0.0,0.0
2018-03-26,0,0,513,0.0,0.0
2018-03-27,0,0,513,0.0,0.0
2018-03-28,0,0,513,0.0,0.0
2018-03-29,0,0,513,0.0,0.0
2018-04-02,0,0,513,0.0,0.0
2018-04-03,0,0,513,0.0,0.0
2018-04-04,0,0,513,0.0,0.0
2018-04-05,0,0,513,0.0,0.0
2018-04-06,0,0,513,0.0,0.0
2018-04-09,0,0,513,0.0,0.0
2018-04-10,0,0,513,0.0,0.0
2018-04-11,0,0,513,0.0,0.0
2018-04-12,0,0,513,0.0,0.0
2018-04-13,0,0,513,0.0,0.0
2018-04-16,0,0,513,0.0,0.0
2018-04-17,0,0,513,0.0,0.0
2018-04-18,0,0,513,0.0,0.0
2018-04-19,0,0,513,0.0,0.0
2018-04-20,0,0,513,0.0,0.0
2018-04-23,0,0,513,0.0,0.0
2018-04-24,0,0,514,0.0,0.0
2018-04-25,0,0,514,0.0,0.0
